file,series_id,name,location,marketplace,currency,quantity,unit,observations
avocado-thiri-mingalar-zay-2ba435ab63.svg,avocado-thiri-mingalar-zay-2ba435ab63,Avocado,Yangon,Thiri Mingalar Zay,MMK,1,pc,2
banana-phegyan-thiri-mingalar-zay-f0c1528093.svg,banana-phegyan-thiri-mingalar-zay-f0c1528093,Banana (PheGyan),Yangon,Thiri Mingalar Zay,MMK,1,pc,2
bell-pepper-aungpan-b49d685880.svg,bell-pepper-aungpan-b49d685880,Bell Pepper,Shan,Aungpan,MMK,1,viss,2
black-gram-new-monywa-23b498e02d.svg,black-gram-new-monywa-23b498e02d,Black Gram(New),Sagaing,Monywa,MMK,1,basket,2
black-sesame-new-monywa-26cf492712.svg,black-sesame-new-monywa-26cf492712,Black Sesame (New),Sagaing,Monywa,MMK,1,basket,2
black-sesame-pyay-e91004046b.svg,black-sesame-pyay-e91004046b,Black Sesame,Bago,Pyay,MMK,1,bag,2
black-sesame-samone-pyay-12ddbdb17d.svg,black-sesame-samone-pyay-12ddbdb17d,Black Sesame (Samone),Bago,Pyay,MMK,1,bag,2
black-sesame-winter-mandalay-d71ec67c47.svg,black-sesame-winter-mandalay-d71ec67c47,Black Sesame (Winter),Mandalay,Mandalay,MMK,45,viss,2
blackgram-new-mandalay-6ac8bf4e73.svg,blackgram-new-mandalay-6ac8bf4e73,Blackgram (New),Mandalay,Mandalay,MMK,60,viss,2
blackgram-new-pyay-063263b925.svg,blackgram-new-pyay-063263b925,Blackgram (New),Bago,Pyay,MMK,1,basket,2
blackgram-paungde-324022d5d6.svg,blackgram-paungde-324022d5d6,Blackgram,Bago,Paungde,MMK,1,basket,2
blackgram-sq-rc-2023-bayint-naung-c46fd011c3.svg,blackgram-sq-rc-2023-bayint-naung-c46fd011c3,"Blackgram (SQ, RC) (2023)",Yangon,Bayint Naung,MMK,1,ton,2
blue-cow-pea-new-mandalay-35eee84236.svg,blue-cow-pea-new-mandalay-35eee84236,Blue Cow Pea (New),Mandalay,Mandalay,MMK,54.25,viss,2
blue-sesame-thant-new-aunglan-d6619744c7.svg,blue-sesame-thant-new-aunglan-d6619744c7,Blue Sesame (Thant) (New),Magway,Aunglan,MMK,1,bag,2
bocate-bayint-naung-0d26abadf1.svg,bocate-bayint-naung-0d26abadf1,Bocate,Yangon,Bayint Naung,MMK,1,viss,2
brown-sesame-new-monywa-44f554b23c.svg,brown-sesame-new-monywa-44f554b23c,Brown Sesame (New),Sagaing,Monywa,MMK,1,basket,2
brown-sesame-old-mandalay-7ea0d019bc.svg,brown-sesame-old-mandalay-7ea0d019bc,Brown Sesame (Old),Mandalay,Mandalay,MMK,45,viss,2
brown-sesame-pakokku-84cfbb207e.svg,brown-sesame-pakokku-84cfbb207e,Brown Sesame,Magway,Pakokku,MMK,1,viss,2
butter-bean-bayint-naung-6f329f12e9.svg,butter-bean-bayint-naung-6f329f12e9,Butter Bean,Yangon,Bayint Naung,MMK,1,viss,2
butter-bean-gyi-mandalay-fcbe1cf535.svg,butter-bean-gyi-mandalay-fcbe1cf535,Butter Bean (Gyi),Mandalay,Mandalay,MMK,56.25,viss,2
