name,location,marketplace,min_price,max_price,currency,quantity,unit,scraped_at,source_url
Avocado,Yangon,Thiri Mingalar Zay,2000,8000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Banana (PheGyan),Yangon,Thiri Mingalar Zay,4500,7000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Bell Pepper,Shan,Aungpan,1500,3000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Black Gram(New),Sagaing,Monywa,,72500,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Black Sesame,Bago,Pyay,,1886000,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Black Sesame (New),Sagaing,Monywa,110000,115000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Black Sesame (Samone),Bago,Pyay,,117000,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Black Sesame (Samone) (New),Magway,Aunglan,,,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Black Sesame (Winter),Mandalay,Mandalay,350000,365000,MMK,45,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Blackgram,Bago,Paungde,,77000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Blackgram,Magway,Sinphyukyun,,,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Blackgram (New),Bago,Pyay,,1886000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Blackgram (New),Mandalay,Mandalay,217000,220000,MMK,60,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
"Blackgram (SQ, RC) (2023)",Yangon,Bayint Naung,,3207000,MMK,1,ton,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Blue Cow Pea,Mandalay,Myingyan,7000,7500,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Blue Cow Pea (New),Mandalay,Mandalay,480000,600000,MMK,54.25,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Blue Sesame (Thant) (New),Magway,Aunglan,500000,550000,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Bocate,Yangon,Bayint Naung,1780,1800,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Brown Sesame,Magway,Pakokku,150000,180000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Brown Sesame (New),Sagaing,Monywa,11700,12000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Brown Sesame (Old),Mandalay,Mandalay,510000,600000,MMK,45,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Butter Bean,Yangon,Bayint Naung,,4865,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Butter Bean (Gyi),Mandalay,Mandalay,525000,540000,MMK,56.25,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
CP Corn,Mandalay,Myingyan,,3800,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
CP Corn (Kyautme),Shan,Lashio,500000,550000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
CP Corn (Muse),Shan,Lashio,,92000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
CP Corn (Naunghkio),Shan,Lashio,123000,125000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Capsicum,Yangon,Thiri Mingalar Zay,500,800,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Carrot,Shan,Aungpan,,115000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Castor Seed,Sagaing,Monywa,150000,180000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Cauliflower,Shan,Aungpan,964,,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chayote,Shan,Aungpan,,,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chayote,Yangon,Thiri Mingalar Zay,3000,6000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (929),Mandalay,Myingyan,,3700,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (929) (New),Mandalay,Mandalay,200000,208000,MMK,56,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
"Chick Pea (929) (New, Old)",Sagaing,Monywa,,71500,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (Holland),Magway,Magway,,101500,MMK,19,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (Holland) (New),Bago,Paungde,,2509000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (Phyu Lone Gyi),Yangon,Bayint Naung,,3860,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (Phyu Lone),Yangon,Bayint Naung,,3123000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (Small),Magway,Magway,,96000,MMK,19,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (Taiwan) (New),Mandalay,Mandalay,185000,190000,MMK,56,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (Thiwan) (Old),Sagaing,Monywa,120000,125000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick Pea (V2)) (New),Sagaing,Monywa,,72700,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chick pea (v2),Mandalay,Myingyan,3500,4000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chili (Moe Htaung) (Myint Wa),Yangon,Bayint Naung,30000,31000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chili (Pwa) (MyintWaKyunPaw),Yangon,Bayint Naung,33000,34000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chili (Pwa) (Sin Phyu Kyun),Yangon,Bayint Naung,,8500,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chili (Shay) (India),Yangon,Bayint Naung,17000,20000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Chili (Shay) (Pantanaw),Yangon,Bayint Naung,16500,17500,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Corn,Yangon,Bayint Naung,5000,6520,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Custard,Shan,Aungpan,,100500,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Eggplant,Shan,Aungpan,,213000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Garden Pea,Shan,Aungpan,3600,4000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Garlic (Htoo 4.5),MON,Mawlamyine,,88000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Garlic (Kyu gote),MON,Mawlamyine,,95000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Green pea,Mandalay,Mandalay,,290000,MMK,59.25,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Green pea,Yangon,Bayint Naung,4120,4210,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Groundnut,Shan,105mile,,,USD,1,ton,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Groundnut (Red) (New),Sagaing,Monywa,,,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Groundnut (White) (New),Sagaing,Monywa,,11400,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Groundnut Oil,Magway,Pakokku,,15000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Half Chickpea,Yangon,Bayint Naung,3165,3335,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Jaggery (Yesakyo) (Chaw),Yangon,Bayint Naung,4000,4200,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean,Magway,Sinphyukyun,,68000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean (Ka),Mandalay,Mandalay,,11800,MMK,55.25,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean (Kone),Yangon,Bayint Naung,10970,11505,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean (La),Mandalay,Mandalay,590000,600000,MMK,55.25,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean (Lat Chaw),Magway,Aunglan,195000,210000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean (Shwe Kyun),Magway,Aunglan,,400000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean (Shwe Kyun),Yangon,Bayint Naung,,4210,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean (Ta),Mandalay,Mandalay,570000,580000,MMK,55.25,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lablab Bean (White),Magway,Magway,,,MMK,19,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Lentil,Mandalay,Mandalay,235000,270000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Maize,Shan,105mile,,,USD,1,ton,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Mung Bean,Magway,Sinphyukyun,,,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Mung Bean,Shan,105mile,,4700,USD,1,ton,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Mung Bean (Khayan Shwe Wah),Yangon,Bayint Naung,10260,10435,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Mung Bean (Wakema),Yangon,Bayint Naung,,5665,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Mung Bean(Bego Shwe Wah),Yangon,Bayint Naung,,5665,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion,MON,Mawlamyine,,2300000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Aung Pan Htoo 3),Yangon,Bayint Naung,,4700,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Aung Pan Htoo 4),Yangon,Bayint Naung,,5700,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Aung Pan Htoo 5),Yangon,Bayint Naung,,7000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Monywa Shal) (New),Yangon,Bayint Naung,,3800,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (New) (John Gyi),Magway,Pakokku,,73500,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (New) (John Lat),Magway,Pakokku,2000,3400,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Old),Magway,Pakokku,,,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Sake Phyu Lat Chaw),Yangon,Bayint Naung,,2800,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Sake Phyu Lat Gyi),Yangon,Bayint Naung,,4000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Sake Phyu Lat Thant),Yangon,Bayint Naung,,4000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Onion (Sake Phyu Shal),Yangon,Bayint Naung,7165,7335,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Paddy (Emata) (New)(Rainy 2022)(Ma Naw Thu Kha),Pathein,Pyapon,317,345,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Paddy (Emata) (Rainy 2022),Pathein,Myaungmya,,2000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Paddy (Emata) (Rainy 2022),Pathein,Pyapon,417,691,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Paddy (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Myaungmya,2000,3000,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Paddy (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Pathein,,3000,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Paddy (Paw San) (Rainy 2022),Pathein,Dedaye,650,745,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Paddy (Paw San) (Rainy 2022),Pathein,Pathein,700,1000,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Peasant Banana,Yangon,Thiri Mingalar Zay,1500,3000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Pigeon Pea (New),Bago,Pyay,,82000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Pigeon Pea (RC) (2021),Yangon,Bayint Naung,,3532000,MMK,1,ton,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Pomelo,Yangon,Thiri Mingalar Zay,4000,15000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Potato (OK) (Aung Pan),Yangon,Bayint Naung,,2000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Potato (OK) (Heho),Yangon,Bayint Naung,,2000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
"Potato (S1,2) (Aung Pan)",Yangon,Bayint Naung,,2400,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
"Potato (S1,2) (Heho)",Yangon,Bayint Naung,,,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Potato (S3) (Aung Pan),Yangon,Bayint Naung,,2400,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Pumpkin,Shan,Aungpan,3000,6000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Radish,Yangon,Thiri Mingalar Zay,3500,6000,MMK,1,bundle,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rakhaine Banana,Yangon,Thiri Mingalar Zay,8000,15000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Red Pea Pyarr,Mandalay,Myingyan,,1520,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Red Pigeon Pea (New),Mandalay,Mandalay,288000,290000,MMK,60,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Red Sesame,Bago,Pyay,,2609000,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Red Sesame,Magway,Aunglan,,500000,MMK,1,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (90 Day Thit Shal),Yangon,War Tan,,105000,MMK,1.5,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Emata 25%),Yangon,War Tan,68000,72000,MMK,1.5,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Emata) (New)(Rainy 2022)(Ma Naw Thu Kha),Pathein,Dedaye,1238,1265,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Emata) (New)(Rainy 2022)(Ma Naw Thu Kha),Pathein,Pyapon,526,581,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Emata) (Rainy 2022),Pathein,Myaungmya,7000,8000,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Emata) (Rainy 2022),Pathein,Pyapon,786,923,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Myaungmya,,,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Emata) (Rainy 2022)(Ma Naw Thu Kha),Pathein,Pathein,3500,3800,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Inn Lal),Bago,Nattalin,,72000,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Inn Lal) (New) (Dry),Bago,Paungde,,2080000,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (MyaungMya Pathein Paw San) (New),Yangon,War Tan,150000,156000,MMK,1.5,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Nga Sein) (New),Yangon,War Tan,65000,69000,MMK,1.5,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Ngwe Toe) (Old),Bago,Nattalin,,2603700,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Paw San Nae Sone) (New),Yangon,War Tan,133000,142000,MMK,1.5,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Paw San) (Rainy 2022),Pathein,Dedaye,263,277,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Paw San) (Rainy 2022),Pathein,Pathein,12000,16000,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Pyapon Paw San) (New),Yangon,War Tan,155000,165000,MMK,1.5,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Shwebo Paw San),Yangon,War Tan,200000,215000,MMK,1.5,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Taung Pyan) (Old),Bago,Nattalin,,1748000,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Thee Htet Shal),Yangon,War Tan,65000,69000,MMK,1.5,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Rice (Yadanar Toe) (20%),Bago,Paungde,,115000,MMK,100,basket,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Shwe Banana,Yangon,Thiri Mingalar Zay,5500,10000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Snake Gourd,Yangon,Thiri Mingalar Zay,25000,50000,MMK,1,bundle,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Soya Bean (Delta),Yangon,Bayint Naung,5400,5700,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Soya Bean (Delta) (High Yield),Yangon,Bayint Naung,7415,7500,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Stawberry,Yangon,Thiri Mingalar Zay,5000,6000,MMK,1,pc,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Sultani Sultapya,Yangon,Bayint Naung,10500,11170,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Tamarind (Darzinn) (New),Yangon,Bayint Naung,4500,4800,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Tamarind (Kyaukpadaung),Yangon,Bayint Naung,,6000,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Tamarind (Pwintkat) (New),Yangon,Bayint Naung,6000,7200,MMK,1,viss,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Taung Pyan (Old),Bago,Pyay,1200,1700,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Thuka (New),Bago,Pyay,,82000,MMK,1,bag,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
Tomato,Yangon,Thiri Mingalar Zay,2500,5000,MMK,1,box,2026-06-30T07:14:10Z,https://wisarra.com/en/market-price
