source,source_record_id,name,location,marketplace,market_chain_level,min_price,max_price,modal_price,currency,quantity,unit,observed_at,collected_at,source_url
wisarra,,Rice (Pyapon Paw San) (New),Yangon,War Tan,unspecified,155000,165000,,MMK,1.5,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (MyaungMya Pathein Paw San) (New),Yangon,War Tan,unspecified,150000,156000,,MMK,1.5,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Paw San Nae Sone) (New),Yangon,War Tan,unspecified,133000,142000,,MMK,1.5,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Nga Sein) (New),Yangon,War Tan,unspecified,65000,69000,,MMK,1.5,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Shwebo Paw San),Yangon,War Tan,unspecified,200000,215000,,MMK,1.5,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Emata 25%),Yangon,War Tan,unspecified,68000,72000,,MMK,1.5,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (90 Day Thit Shal),Yangon,War Tan,unspecified,,105000,,MMK,1.5,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Rice (Thee Htet Shal),Yangon,War Tan,unspecified,65000,69000,,MMK,1.5,basket,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,"Blackgram (SQ, RC) (2023)",Yangon,Bayint Naung,unspecified,,3305000,,MMK,1,ton,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Pigeon Pea (RC) (2021),Yangon,Bayint Naung,unspecified,,3650000,,MMK,1,ton,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Phyu Lone),Yangon,Bayint Naung,unspecified,,3125000,,MMK,1,viss,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Chick Pea (Phyu Lone Gyi),Yangon,Bayint Naung,unspecified,,3770,,MMK,1,viss,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
wisarra,,Green pea,Yangon,Bayint Naung,unspecified,4120,4300,,MMK,1,viss,2026-07-08T00:00:00Z,2026-07-13T09:43:41Z,https://wisarra.com/en/market-price
